id,date,value,factor,pct_change,method,return
1161,1967-09-01,745.9,0.9954685614693659,-0.4531438530634091,Compounding,55603.87964268128
1161,1967-09-01,745.9,0.9954685614693659,-0.4531438530634091,Buy the Dip,68825.3123821999
1162,1967-10-01,742.52,0.9657786995636481,-3.4221300436351854,No Compounding,25960.378171631743
1162,1967-10-01,742.52,0.9657786995636481,-3.4221300436351854,Compounding,57321.544685404144
1162,1967-10-01,742.52,0.9657786995636481,-3.4221300436351854,Buy the Dip,70629.89011747074
1163,1967-11-01,717.11,1.0254493731784524,2.5449373178452417,No Compounding,25397.91663761487
1163,1967-11-01,717.11,1.0254493731784524,2.5449373178452417,Compounding,56079.60730903724
1163,1967-11-01,717.11,1.0254493731784524,2.5449373178452417,Buy the Dip,68069.63217313027
1164,1967-12-01,735.36,0.9914191688424716,-0.858083115752839,No Compounding,25052.219321148823
1164,1967-12-01,735.36,0.9914191688424716,-0.858083115752839,Compounding,55316.29392267498
1164,1967-12-01,735.36,0.9914191688424716,-0.858083115752839,Buy the Dip,68851.86990387551
1165,1968-01-01,729.05,0.9520746176531103,-4.79253823468897,No Compounding,23436.526987175093
1165,1968-01-01,729.05,0.9520746176531103,-4.79253823468897,Compounding,51748.78116506253
1165,1968-01-01,729.05,0.9520746176531103,-4.79253823468897,Buy the Dip,63858.70407360489
1166,1968-02-01,694.11,0.9788506144559219,-2.114938554407808,No Compounding,24119.664030196942
1166,1968-02-01,694.11,0.9788506144559219,-2.114938554407808,Compounding,53257.17485173934
1166,1968-02-01,694.11,0.9788506144559219,-2.114938554407808,Buy the Dip,62570.42244060019
1167,1968-03-01,679.43,1.0707357638020105,7.073576380201052,No Compounding,23745.050998631206
1167,1968-03-01,679.43,1.0707357638020105,7.073576380201052,Compounding,52430.01441953519
1167,1968-03-01,679.43,1.0707357638020105,7.073576380201052,Buy the Dip,60295.84106013408
1168,1968-04-01,727.49,1.0200277667046969,2.002776670469686,No Compounding,22938.734553052276
1168,1968-04-01,727.49,1.0200277667046969,2.002776670469686,Compounding,50649.63572627197
1168,1968-04-01,727.49,1.0200277667046969,2.002776670469686,Buy the Dip,62368.60286362816
1169,1968-05-01,742.06,1.02095517882651,2.09551788265101,No Compounding,22833.46360132604
1169,1968-05-01,742.06,1.02095517882651,2.09551788265101,Compounding,50417.19328943395
1169,1968-05-01,742.06,1.02095517882651,2.09551788265101,Buy the Dip,63325.75089441582
1170,1968-06-01,757.61,0.9922915484220113,-0.7708451577988717,No Compounding,21163.791396628876
1170,1968-06-01,757.61,0.9922915484220113,-0.7708451577988717,Compounding,46730.490836227356
1170,1968-06-01,757.61,0.9922915484220113,-0.7708451577988717,Buy the Dip,59925.09102243735
1171,1968-07-01,751.77,0.9753648057251553,-2.463519427484473,No Compounding,19889.327852933744
1171,1968-07-01,751.77,0.9753648057251553,-2.463519427484473,Compounding,43916.42478191736
